name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
discovery bay california,2022-06-01,33.4,12.6,23.2,31,12.6,22.4,4.6,34.9,0,0,0,,0,0,29.5,19.5,286,1011.4,0,16,206.8,18,10,10,2022-06-01T05:45:49,2022-06-01T20:23:11,0.08,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237"
discovery bay california,2022-06-02,30.4,16.5,22.5,28.7,16.5,22,7.1,39.3,0,0,0,,0,0,40.7,26.9,263.7,1009.8,0,16,195.6,16.9,8,10,2022-06-02T05:45:28,2022-06-02T20:23:50,0.11,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237,CI047"
discovery bay california,2022-06-03,25.3,14.3,19.3,25.3,14.3,19.3,12,63.8,0,0,0,,0,0,39.8,28.7,268.5,1010.8,8.8,16,234.5,20.1,7,10,2022-06-03T05:45:09,2022-06-03T20:24:28,0.14,Clear,Clear conditions throughout the day.,clear-day,"KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237,CI047"
discovery bay california,2022-06-04,24.4,15.6,19.4,24.4,15.6,19.4,8.6,51.4,0,0,0,,0,0,20.9,19.5,279.1,1012.9,67.2,16,148.3,12.8,5,10,2022-06-04T05:44:52,2022-06-04T20:25:05,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237,CI047"
discovery bay california,2022-06-05,27.1,17.3,21.7,27.4,17.3,21.7,14.6,65.2,0.579,100,12.5,rain,0,0,34.6,20.5,268.2,1013,79.3,15.7,162.5,14.1,7,10,2022-06-05T05:44:37,2022-06-05T20:25:41,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237,CI047"
discovery bay california,2022-06-06,28.4,14.8,21.3,27.4,14.8,21.1,10.6,54.3,0,0,0,,0,0,35.3,22.4,282.6,1013.5,14.6,16,310.8,26.8,8,10,2022-06-06T05:44:23,2022-06-06T20:26:16,0.24,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,CI047"
discovery bay california,2022-06-07,31,13.2,21.4,29.2,13.2,21.1,9.2,49.3,0,0,0,,0,0,35.8,26.5,276.4,1012.2,0,16,187.5,16.2,9,10,2022-06-07T05:44:11,2022-06-07T20:26:49,0.25,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-06-08,29.8,14.7,21.7,29.2,14.7,21.5,9.6,47.1,0,0,0,,0,0,45,27.6,264.5,1011.9,0,16,161.2,13.9,7,10,2022-06-08T05:44:01,2022-06-08T20:27:21,0.31,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,E9135,72495023254,72492023237"
discovery bay california,2022-06-09,34.8,14.3,24.3,32.8,14.3,23.6,9.9,46,0,0,0,,0,0,35.3,25.1,280.6,1011.1,0,16,172.1,15,9,10,2022-06-09T05:43:53,2022-06-09T20:27:52,0.34,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237"
discovery bay california,2022-06-10,38.2,18.8,28.2,36.6,18.8,27.7,11.7,38.8,0,0,0,,0,0,47.1,28.6,287.3,1011.9,0,16,168.1,14.3,10,10,2022-06-10T05:43:46,2022-06-10T20:28:21,0.38,Clear,Clear conditions throughout the day.,clear-day,"D3588,KSCK,KCCR,KLVK,72492723285,72495023254,72492023237,VAQC1"
