name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
stockton california,2022-06-01,34.3,13.3,24.7,31.9,13.3,23.8,3.6,29.2,0,0,0,,0,0,29.5,20.4,308.3,1011.4,0,16,344.8,29.6,9,10,2022-06-01T05:44:26,2022-06-01T20:22:04,0.08,Clear,Clear conditions throughout the day.,clear-day,"C0136,KSCK,KMOD,KLVK,72492723285,72492623258,72492023237"
stockton california,2022-06-02,34.2,17.9,24.7,32,17.9,24.1,6.6,32.9,0,0,0,,0,0,38.9,32.8,278,1009.4,0,16,288,24.8,9,10,2022-06-02T05:44:05,2022-06-02T20:22:44,0.11,Clear,Clear conditions throughout the day.,clear-day,"C0136,KSCK,KMOD,KLVK,72492723285,72492623258,72492023237"
stockton california,2022-06-03,29.2,15.6,21.9,28.5,15.6,21.8,11.8,54.3,0,0,0,,0,0,46.4,31.4,296.1,1010.3,0.6,16,248.3,21.2,8,10,2022-06-03T05:43:46,2022-06-03T20:23:22,0.14,Clear,Clear conditions throughout the day.,clear-day,"CI070,C0136,KSCK,KMOD,KLVK,72492723285,72492623258,72492023237"
stockton california,2022-06-04,26.6,16.7,21,26.6,16.7,21,8.6,46.8,0,0,0,,0,0,35.3,22.2,307.3,1012.9,58,16,164.8,14.1,5,10,2022-06-04T05:43:29,2022-06-04T20:23:59,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CI070,C0136,KSCK,KMOD,KLVK,72492723285,72492623258,72492023237"
stockton california,2022-06-05,28.8,16.2,22.4,29,16.2,22.5,14.5,62.9,1.527,100,12.5,rain,0,0,34.2,24.1,332,1013.3,69.8,15.6,235.7,20.4,10,10,2022-06-05T05:43:13,2022-06-05T20:24:35,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"CI070,C0136,KSCK,KMOD,KLVK,72492723285,72492623258,72492023237"
stockton california,2022-06-06,31,16.6,23.1,29.4,16.6,22.7,10.4,48.9,0,0,0,,0,0,42.5,27.4,305.4,1013.2,15,16,330.6,28.5,9,10,2022-06-06T05:42:59,2022-06-06T20:25:09,0.24,Clear,Clear conditions throughout the day.,clear-day,"CI070,C0136,KSCK,KMOD,KLVK,72492723285,72492623258,72492023237"
stockton california,2022-06-07,33.7,13.4,23.6,31.7,13.4,23,9.4,44.7,0,0,0,,0,0,42.5,32.1,297.5,1011.7,0,16,308.4,26.5,9,10,2022-06-07T05:42:47,2022-06-07T20:25:43,0.25,Clear,Clear conditions throughout the day.,clear-day,"C0136,KSCK,KMOD,KLVK,72492723285,72492623258,72492023237"
stockton california,2022-06-08,33.2,15,23.7,32.5,15,23.4,9.4,41.2,0,0,0,,0,0,44.1,33.1,276.6,1011.3,0,16,285.1,24.5,9,10,2022-06-08T05:42:37,2022-06-08T20:26:15,0.31,Clear,Clear conditions throughout the day.,clear-day,"C0136,KSCK,KMOD,KLVK,72492723285,72492623258,72492023237"
stockton california,2022-06-09,36.6,16.1,26.4,34.8,16.1,25.7,10.7,41.7,0,0,0,,0,0,38.9,25.8,298.4,1010.6,0,16,313.2,27,9,10,2022-06-09T05:42:29,2022-06-09T20:26:46,0.34,Clear,Clear conditions throughout the day.,clear-day,"C0136,KSCK,KMOD,KLVK,72492723285,72492623258,72492023237"
stockton california,2022-06-10,39.9,18.9,29.7,38.1,18.9,29.1,12,37,0,0,0,,0,0,41,24.1,308.5,1011.5,0,16,325.8,28,9,10,2022-06-10T05:42:22,2022-06-10T20:27:15,0.38,Clear,Clear conditions throughout the day.,clear-day,"C0136,KSCK,KMOD,KLVK,72492723285,72492623258,72492023237"
