time_stamp,humidity,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
1660435200,33.099,9.9225,10.435,9.41
1673827200,66.671,0.4785,0.601,0.356
1678665600,64.037,3.2965,3.606,2.987
1668470400,44.881,16.2225,16.444,16.001
1661126400,40.555,3.179,3.58,2.778
1679356800,59.781,3.477,3.936,3.018
1660694400,32.471,20.863,21.635,20.091
1668988800,41.39,18.6965,18.928,18.465
1681344000,33.159,1.077,1.315,0.839
1682726400,42.357,2.9525,3.315,2.59
1676160000,46.912,5.492,5.766,5.218
1675209600,48.84,14.215,14.269,14.161
1664064000,34.365,7.7,8.066,7.334
1682985600,59.396,0.5765,0.89,0.263
1671148800,58.547,36.234,36.055,36.413
1662508800,28.426,7.8345,8.329,7.34
1682899200,54.531,2.345,2.862,1.828
1683849600,44.093,4.3135,4.71,3.917
1665705600,49.079,10.8025,11.174,10.431
1680134400,58.942,1.2805,1.613,0.948
1682380800,36.16,3.36,3.789,2.931
1670630400,65.267,14.859,15.224,14.494
1680825600,53.924,3.845,4.251,3.439
1665878400,51.943,18.353,18.657,18.049
1682467200,36.276,3.517,3.923,3.111
1669593600,46.178,10.548,10.601,10.495
1675814400,54.275,24.8325,24.906,24.759
1669075200,44.147,20.7125,20.902,20.523
1680480000,41.812,0.3015,0.509,0.094
1684195200,43.538,912.11,1820.792,3.428
1683504000,50.221,1.9605,2.354,1.567
1670544000,57.24,17.8575,18.098,17.617
1669680000,42.164,0.9465,1.129,0.764
1663632000,59.122,4.9285,5.155,4.702
1668902400,43.901,28.8385,28.852,28.825
1681516800,46.043,1.3975,1.776,1.019
1684540800,45.739,2.5305,2.927,2.134
1665100800,39.774,9.195,9.602,8.788
1.67E+09,60.973,10.49,10.639,10.341
1668211200,52.365,14.5825,14.783,14.382
1660348800,24.305,3.2525,3.715,2.79
1670025600,63.553,23.0015,22.764,23.239
1669852800,54.404,4.993,5.215,4.771
1660867200,34.994,12.3695,12.989,11.75
1678060800,53.931,1.8415,2.216,1.467
1663027200,42.495,7.1695,7.706,6.633
1680652800,45.561,2.0505,2.428,1.673
1676073600,53.028,1.6345,2.033,1.236
