time_stamp,humidity,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,,,,,,,,,
1684454400,37.321,1.509,1.274,1.744,,,,,,,,,
1684886400,41.712,4.092,3.755,4.429,,,,,,,,,
1684972800,44.744,2.9815,2.719,3.244,,,,,,,,,
1684022400,32.592,2.0105,1.752,2.269,,,,,,,,,
1685491200,44.026,0.533,0.445,0.621,,,,,,,,,
1684540800,41.189,0.1125,0.082,0.143,,,,,,,,,
1685232000,45.145,2.104,1.837,2.371,,,,,,,,,
1685577600,38.971,3.4635,3.113,3.814,,,,,,,,,
1683849600,42.076,1.946,1.803,2.089,,,,,,,,,
1684800000,38.887,3.7455,3.443,4.048,,,,,,,,,
1685404800,45.968,0.031,0.027,0.035,,,,,,,,,
1684713600,39.024,1.9695,1.76,2.179,,,,,,,,,
1684195200,40.494,0.9095,0.789,1.03,,,,,,,,,
1684108800,46.683,1.6955,1.558,1.833,,,,,,,,,
1684368000,40.217,2.179,1.946,2.412,,,,,,,,,
1684627200,44.198,0.4215,0.361,0.482,,,,,,,,,
1684281600,34.373,0.786,0.631,0.941,,,,,,,,,
1683936000,39.415,2.4245,2.162,2.687,,,,,,,,,
1685059200,47.008,0.434,0.33,0.538,,,,,,,,,
1685145600,45.704,0.0695,0.06,0.079,,,,,,,,,
1685318400,45.139,1.9065,1.674,2.139,,,,,,,,,
1683676800,30.083,0.0015,0.001,0.002,,,,,,,,,
1683763200,43.607,0.323,0.313,0.333,,,,,,,,,
1684454400,37.321,1.509,1.274,1.744,,,,,,,,,
1684886400,41.712,4.092,3.755,4.429,,,,,,,,,
1684972800,44.744,2.9815,2.719,3.244,,,,,,,,,
1684022400,32.592,2.0105,1.752,2.269,,,,,,,,,
1685491200,44.026,0.533,0.445,0.621,,,,,,,,,
1684540800,41.189,0.1125,0.082,0.143,,,,,,,,,
1685232000,45.145,2.104,1.837,2.371,,,,,,,,,
1685577600,38.971,3.4635,3.113,3.814,,,,,,,,,
1683849600,42.076,1.946,1.803,2.089,,,,,,,,,
1684800000,38.887,3.7455,3.443,4.048,,,,,,,,,
1685404800,45.968,0.031,0.027,0.035,,,,,,,,,
1684713600,39.024,1.9695,1.76,2.179,,,,,,,,,
1684195200,40.494,0.9095,0.789,1.03,,,,,,,,,
1684108800,46.683,1.6955,1.558,1.833,,,,,,,,,
1684368000,40.217,2.179,1.946,2.412,,,,,,,,,
1684627200,44.198,0.4215,0.361,0.482,,,,,,,,,
1684281600,34.373,0.786,0.631,0.941,,,,,,,,,
