"date","PM2.5","site"
2022-08-13,8.0962562,"DB"
2022-08-21,3.919955,"DB"
2022-08-16,13.8832118,"DB"
2022-09-24,6.822537,"DB"
2022-09-06,7.4049568,"DB"
2022-09-19,3.2362176,"DB"
2022-08-12,5.359219,"DB"
2022-08-18,9.2151352,"DB"
2022-09-12,5.843749,"DB"
2022-09-28,2.5021288,"DB"
2022-09-16,5.8927716,"DB"
2022-09-08,10.7224826,"DB"
2022-09-29,3.5079312,"DB"
2022-08-07,2.9262442,"DB"
2022-08-29,13.005327,"DB"
2022-08-14,11.8857936,"DB"
2022-08-23,4.6362118,"DB"
2022-09-22,4.567602,"DB"
2022-10-01,4.6782526,"DB"
2022-09-03,5.4301222,"DB"
2022-08-05,3.554269,"DB"
2022-08-06,4.1903446,"DB"
2022-08-17,15.73343,"DB"
2022-08-25,5.2921118,"DB"
2022-09-01,7.7521364,"DB"
2022-08-27,19.7239314,"DB"
2022-09-07,9.4005554,"DB"
2022-08-24,5.898599,"DB"
2022-09-14,11.491564,"DB"
2022-09-17,2.6957788,"DB"
2022-09-13,8.8856296,"DB"
2022-09-30,4.3017424,"DB"
2022-09-15,10.2760958,"DB"
2022-08-19,7.4644058,"DB"
2022-09-02,12.5133608,"DB"
2022-09-26,7.2816714,"DB"
2022-09-18,3.4425166,"DB"
2022-08-26,6.9049064,"DB"
2022-09-10,16.7611024,"DB"
2022-08-10,4.0754756,"DB"
2022-08-04,4.5601942,"DB"
2022-08-31,8.985716,"DB"
2022-09-09,9.3976956,"DB"
2022-08-09,3.532676,"DB"
2022-08-20,5.8381576,"DB"
2022-08-15,17.1003984,"DB"
2022-09-21,3.2578426,"DB"
2022-08-28,9.6067912,"DB"
2022-09-20,2.997579,"DB"
2022-09-05,9.5452562,"DB"
2022-08-30,11.9473676,"DB"
2022-09-23,6.121768,"DB"
2022-09-25,7.0209812,"DB"
2022-08-08,3.3160802,"DB"
2022-09-27,5.9794026,"DB"
2022-09-04,8.6133638,"DB"
2022-09-11,11.5397878,"DB"
2022-07-10,6.7373706,"DB"
2022-09-02,13.4184998,"DB"
2022-07-04,4.1520578,"DB"
2022-09-11,11.820424,"DB"
2022-09-10,16.3757952,"DB"
2022-07-18,7.5084802,"DB"
2022-09-07,9.7056822,"DB"
2022-09-05,9.718748,"DB"
2022-07-17,9.3518634,"DB"
2022-08-24,6.330738,"DB"
2022-09-01,8.0568848,"DB"
2022-07-09,6.3727638,"DB"
2022-09-08,11.0133352,"DB"
2022-09-20,3.992217,"DB"
2022-07-27,4.0676938,"DB"
2022-07-07,3.6720556,"DB"
2022-08-11,5.513467,"DB"
2022-09-06,7.788399,"DB"
2022-09-22,5.9932842,"DB"
2022-08-12,5.3527916,"DB"
2022-06-25,6.3910642,"DB"
2022-09-24,7.6517832,"DB"
2022-06-27,5.1564116,"DB"
2022-08-03,6.6379346,"DB"
2022-07-12,4.8324818,"DB"
2022-08-18,9.176024,"DB"
2022-08-27,18.2769214,"DB"
2022-08-13,8.4684218,"DB"
2022-08-23,5.3118414,"DB"
2022-07-15,7.4831868,"DB"
2022-08-29,12.5837082,"DB"
2022-08-30,11.6675494,"DB"
2022-09-12,7.0516824,"DB"
2022-08-04,5.7071006,"DB"
2022-07-11,9.4576522,"DB"
2022-07-19,5.8919748,"DB"
2022-08-15,15.7402194,"DB"
2022-06-26,5.853283,"DB"
2022-07-22,5.3818146,"DB"
2022-06-28,5.3656324,"DB"
2022-08-31,9.3276104,"DB"
2022-08-19,7.662359,"DB"
2022-07-08,4.69997,"DB"
2022-07-14,6.8919568,"DB"
2022-08-01,7.3859398,"DB"
2022-07-28,5.8659208,"DB"
2022-08-02,6.4553032,"DB"
2022-07-20,4.942357,"DB"
2022-08-06,5.6033328,"DB"
2022-07-16,8.4756822,"DB"
2022-07-30,4.4186676,"DB"
2022-09-23,7.410565,"DB"
2022-08-14,11.4409448,"DB"
2022-08-28,9.5597868,"DB"
2022-08-17,15.465286,"DB"
2022-07-31,5.26356,"DB"
2022-07-25,4.3624896,"DB"
2022-09-04,8.9413716,"DB"
2022-08-02,5.7995308,"DB"
2022-07-24,5.7888004,"DB"
2022-07-31,4.5731042,"DB"
2022-09-30,4.3435336,"DB"
2022-06-30,4.572602,"DB"
2022-08-24,5.7525064,"DB"
2022-08-07,3.7884132,"DB"
2022-09-04,8.3251374,"DB"
2022-07-07,3.3163382,"DB"
2022-09-10,15.4442256,"DB"
2022-08-26,6.788951,"DB"
2022-07-28,4.9290076,"DB"
2022-06-25,5.6510924,"DB"
2022-09-09,9.0966316,"DB"
2022-09-18,3.1246458,"DB"
2022-07-09,5.5045496,"DB"
2022-08-13,7.9840884,"DB"
2022-09-03,5.7230202,"DB"
2022-07-17,9.5555682,"DB"
2022-09-08,10.3315494,"DB"
2022-07-11,10.1372038,"DB"
2022-07-25,4.0520098,"DB"
2022-09-02,11.2913814,"DB"
2022-07-30,3.9386442,"DB"
2022-09-26,6.9294242,"DB"
2022-08-05,3.204154,"DB"
2022-08-31,8.655798,"DB"
2022-09-22,4.4744704,"DB"
2022-08-03,5.8672632,"DB"
2022-08-21,4.1261052,"DB"
2022-09-28,2.7043592,"DB"
2022-07-20,4.7450496,"DB"
2022-09-15,9.531482,"DB"
2022-09-01,7.298312,"DB"
2022-08-10,4.0258236,"DB"
2022-07-19,5.7506074,"DB"
2022-07-01,3.906439,"DB"
2022-08-12,5.0258304,"DB"
2022-06-29,5.15325,"DB"
2022-08-04,5.3052134,"DB"
2022-07-10,6.4954814,"DB"
2022-08-09,3.9827234,"DB"
2022-09-19,3.3870502,"DB"
2022-07-13,9.4766664,"DB"
2022-07-29,3.9193668,"DB"
2022-07-26,3.4450498,"DB"
2022-07-16,16.4846846,"DB"
2022-09-06,7.5370618,"DB"
2022-09-07,8.8111198,"DB"
2022-07-23,5.5398608,"DB"
2022-07-14,6.3898216,"DB"
2022-08-15,16.240825,"DB"
2022-08-18,8.9679068,"DB"
2022-10-01,4.6959512,"DB"
2022-09-14,10.5900314,"DB"
2022-09-11,10.360922,"DB"
2022-07-18,7.4527842,"DB"
2022-06-27,4.8348548,"DB"
2022-08-27,20.0340746,"DB"
2022-07-22,5.4366778,"DB"
2022-09-25,6.9044226,"DB"
2022-07-27,3.7270824,"DB"
2022-09-27,5.6486114,"DB"
2022-08-08,3.749656,"DB"
2022-09-16,5.7382064,"DB"
2022-07-02,9.4969944,"DB"
2022-08-19,7.336632,"DB"
2022-07-04,4.4372006,"DB"
2022-07-08,3.679079,"DB"
2022-08-28,9.1596884,"DB"
2022-08-01,6.8597894,"DB"
2022-06-26,5.3948738,"DB"
2022-08-11,4.6450244,"DB"
2022-09-24,6.6149588,"DB"
2022-09-29,3.6461674,"DB"
2022-08-25,5.1173216,"DB"
2022-09-13,8.2274694,"DB"
2022-09-23,6.0085202,"DB"
2022-08-06,4.778404,"DB"
2022-09-12,5.7379944,"DB"
2022-08-20,5.9038478,"DB"
2022-07-15,6.9768718,"DB"
2022-09-20,3.1597748,"DB"
2022-07-03,2.9194902,"DB"
2022-08-14,11.4402954,"DB"
2022-09-21,3.2620212,"DB"
2022-08-16,13.6970774,"DB"
2022-07-12,3.7686662,"DB"
2022-08-29,11.948911,"DB"
2022-08-30,11.5329886,"DB"
2022-09-17,2.7230582,"DB"
2022-08-17,14.6182652,"DB"
2022-08-22,3.0444878,"DB"
2022-08-23,4.7071074,"DB"
2022-06-28,4.880493,"DB"
2022-09-05,8.6577702,"DB"
2022-07-05,2.5393812,"DB"
2022-07-21,5.1234188,"DB"
2022-09-04,10.0315608,"ST"
2022-07-21,9.485302,"ST"
2022-09-27,9.0978458,"ST"
2022-09-11,15.707182,"ST"
2022-08-07,5.129687,"ST"
2022-10-01,6.6282356,"ST"
2022-08-17,17.8110528,"ST"
2022-09-06,8.3519384,"ST"
2022-08-06,6.0447182,"ST"
2022-09-18,5.0840662,"ST"
2022-08-27,20.8831288,"ST"
2022-09-05,13.7360736,"ST"
2022-07-28,7.4998028,"ST"
2022-09-22,6.573457,"ST"
2022-08-25,7.6549844,"ST"
2022-09-12,7.145692,"ST"
2022-08-22,4.1884164,"ST"
2022-08-11,5.6729062,"ST"
2022-07-05,7.1598756,"ST"
2022-08-16,16.9808236,"ST"
2022-09-02,19.5483442,"ST"
2022-08-14,14.1530662,"ST"
2022-09-30,6.091515,"ST"
2022-08-15,20.3951792,"ST"
2022-09-23,8.9032618,"ST"
2022-08-03,9.6647534,"ST"
2022-09-03,9.3744392,"ST"
2022-08-19,10.1570856,"ST"
2022-09-08,11.7996244,"ST"
2022-09-25,7.4854854,"ST"
2022-09-29,5.4917424,"ST"
2022-09-21,6.4628846,"ST"
2022-09-07,12.655629,"ST"
2022-08-13,12.4514898,"ST"
2022-09-10,25.0567674,"ST"
