time_stamp,humidity,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
1665532800,40.762,18.9645,18.261,19.668
1670371200,54.491,4.0755,3.334,4.817
1683936000,38.979,6.2185,5.487,6.95
1665964800,45.951,8.8585,8.387,9.33
1666051200,44.329,15.5315,14.853,16.21
1659484800,27.136,4.5585,4.116,5.001
1658707200,36.008,5.9975,5.478,6.517
1659312000,41.619,4.6005,4.07,5.131
1675987200,49.175,24.4235,22.369,26.478
1674777600,52.819,32.9905,30.427,35.554
1680825600,48.443,3.167,2.667,3.667
1664582400,34.632,3.013,2.576,3.45
1677801600,47.822,3.057,2.602,3.512
1677888000,48.156,3.033,2.644,3.422
1656633600,32.16,3.0435,2.737,3.35
1661385600,40.818,6.7195,5.993,7.446
1669507200,39.21,11.767,10.845,12.689
1659916800,32.294,1.569,1.289,1.849
1673913600,55.505,2.016,1.577,2.455
1662336000,22.833,8.6705,8.107,9.234
1657238400,32.029,0.6245,0.498,0.751
1675814400,50.34,19.5855,17.643,21.528
1665792000,43.796,16.7015,15.96,17.443
1680998400,40.953,2.332,1.833,2.831
1662854400,38.112,24.77,24.086,25.454
1679616000,40.796,0.832,0.622,1.042
1666224000,31.257,8.22,7.694,8.746
1672963200,63.593,9.066,8.199,9.933
1661558400,39.715,8.516,7.728,9.304
1655510400,35.279,1.1235,0.985,1.262
1677456000,63.222,2.732,2.27,3.194
1659052800,36.782,4.484,3.848,5.12
1673827200,64.42,0.7625,0.55,0.975
1682035200,33.871,3.4345,3.029,3.84
1656201600,29.858,4.723,4.365,5.081
1662768000,35.232,12.1825,12.036,12.329
1676332800,37.512,1.563,1.49,1.636
1668384000,42.696,16.6785,15.467,17.89
1682467200,31.515,3.043,2.738,3.348
1663545600,58.541,4.62,3.99,5.25
1684195200,38.835,3.089,2.545,3.633
1668297600,40.488,2.903,2.401,3.405
1657411200,32.172,4.824,4.342,5.306
1681344000,28.814,0.8645,0.738,0.991
1670716800,58.704,0.543,0.456,0.63
1660435200,29.218,9.07,8.488,9.652
1678665600,57.809,2.858,2.464,3.252
1683849600,38.792,3.4815,2.918,4.045
1680652800,42.107,2.281,1.859,2.703
1676419200,33.18,0.5255,0.467,0.584
1662249600,25.589,4.158,3.905,4.411
1684540800,37.364,1.7915,1.444,2.139
1655251200,21.453,7.9605,7.627,8.294
1658102400,26.139,11.5625,11.302,11.823
1679097600,49.968,9.065,8.128,10.002
1667692800,44.997,3.4265,3.122,3.731
1673481600,62.499,2.793,2.325,3.261
1684454400,33.25,3.756,3.253,4.259
1662681600,21.383,12.261,11.566,12.956
1679961600,46.558,2.1585,1.749,2.568
1657584000,28.601,13.0775,11.544,14.611
1677542400,59.271,0.6145,0.412,0.817
1684627200,42.742,3.8995,3.221,4.578
1658793600,35.321,2.57,2.168,2.972
1656028800,24.197,3.7785,3.352,4.205
1662163200,21.263,14.073,13.787,14.359
1680307200,42.388,2.146,1.732,2.56
1659225600,42.019,3.4555,2.93,3.981
1682899200,48.737,1.7055,1.489,1.922
1673654400,68.862,2.553,2.217,2.889
1667260800,49.4,6.861,6.348,7.374
1664236800,35.359,8.0675,7.274,8.861
1659744000,40.54,1.8105,1.553,2.068
1676246400,42.619,12.439,10.891,13.987
1668729600,39.733,21.1795,20.288,22.071
1667865600,53.374,1.659,1.387,1.931
1674432000,35.564,0.1685,0.128,0.209
1669852800,51.808,3.937,3.375,4.499
1679875200,36.07,1.547,1.175,1.919
1668643200,42.578,21.9375,20.755,23.12
1661990400,29.86,10.4575,10.015,10.9
1676160000,43.905,4.957,4.297,5.617
1678233600,44.725,0.622,0.396,0.848
1678060800,49.861,1.9375,1.503,2.372
1673308800,64.563,5.8695,5.496,6.243
1673740800,64.737,2.3325,1.935,2.73
1685232000,41.089,5.972,5.243,6.701
1654128000,21.289,1.587,1.441,1.733
1676678400,34.442,15.469,13.951,16.987
1663891200,36.888,3.634,2.938,4.33
1682294400,37.078,2.5035,2.294,2.713
1677110400,45.992,0.5215,0.341,0.702
1669075200,39.255,18.121,16.941,19.301
1674864000,47.751,23.2355,21.508,24.963
1668124800,46.086,10.8445,9.787,11.902
1654041600,24.782,2.232,2.082,2.382
1668211200,47.264,12.957,11.944,13.97
1659571200,28.104,4.847,4.5,5.194
1681603200,40.725,2.1435,1.702,2.585
1673222400,69.544,2.7285,2.41,3.047
1670976000,55.04,13.4035,12.067,14.74
1667606400,48.411,11.4855,10.389,12.582
1679184000,55.486,5.5185,4.678,6.359
1684368000,37.521,5.2135,4.562,5.865
1680739200,42.071,3.727,3.16,4.294
1661126400,36.124,2.8435,2.58,3.107
1672531200,54.375,0.3535,0.217,0.49
1664409600,40.244,0.808,0.612,1.004
1671062400,53.508,23.117,21.033,25.201
1674604800,49.869,25.3255,23.258,27.393
1658361600,27.582,2.6195,2.294,2.945
1671235200,54.314,41.476,38.657,44.295
1676851200,43.392,17.634,16.033,19.235
1654300800,34.331,2.959,2.489,3.429
1672444800,72.313,0.955,0.709,1.201
1655683200,24.2,5.0835,4.725,5.442
1663286400,42.26,14.1685,13.472,14.865
1677196800,56.751,0.443,0.287,0.599
1662076800,26.49,7.3125,6.992,7.633
1681171200,47.035,0.357,0.272,0.442
1654819200,23.068,0.615,0.541,0.689
1660176000,33.792,2.2685,1.964,2.573
1658275200,30.743,5.0585,4.562,5.555
1670457600,58.789,16.1305,14.441,17.82
1668902400,41.179,26.4725,24.992,27.953
1674259200,50.518,6.2265,5.381,7.072
1672185600,61.197,5.8065,5.334,6.279
1670803200,58.711,0.453,0.261,0.645
1667174400,45.682,19.307,18.426,20.188
1682640000,31.917,4.5605,3.839,5.282
1672099200,69.849,16.913,15.709,18.117
1655856000,17.403,2.274,1.964,2.584
1656720000,35.025,2.2435,1.956,2.531
1679443200,61.281,0.5335,0.355,0.712
1660348800,29.358,3.4475,3.175,3.72
1655337600,19.68,2.579,2.464,2.694
1656547200,34.29,4.502,4.169,4.835
1665273600,39.133,6.7435,6.046,7.441
