time_stamp,humidity,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
1675382400,57.235,2536.9415,75.359,4998.524
1666656000,32.742,24.099,28.305,19.893
1662336000,23.696,12.069,10.811,13.327
1684800000,38.181,2503.3985,13.297,4993.5
1658448000,23.86,11.0535,9.225,12.882
1664323200,39.771,12.9315,15.138,10.725
1680998400,39.489,2509.6775,21.031,4998.324
1677283200,66.847,2501.6535,4.769,4998.538
1658793600,36.181,7.224,9.8,4.648
1684454400,36.27,2501.2825,14.645,4987.92
1662940800,24.7,23.0655,23.365,22.766
1681344000,29.197,2504.938,11.734,4998.142
1659916800,38.235,5.106,6.55,3.662
1664668800,46.862,9.385,11.357,7.413
1660780800,26.636,27.399,28.438,26.36
1680220800,46.525,2504.0215,9.235,4998.808
1676073600,48.708,2506.766,14.865,4998.667
1665100800,38.807,10.393,9.768,11.018
1673654400,73.868,2520.761,43.217,4998.305
1678924800,44.322,2506.6295,14.697,4998.562
1662508800,20.358,8.3145,7.583,9.046
1659830400,39.349,7.0355,8.376,5.695
1678060800,49.751,2509.577,13.924,5005.23
1663545600,52.539,7.372,7.675,7.069
1665360000,42.621,10.1005,11.389,8.812
1680393600,49.319,2509.2555,20.218,4998.293
1661644800,36.996,34.966,35.782,34.15
1673222400,73.072,2519.7645,41.035,4998.494
1657584000,32.476,11.865,16.18,7.55
1669593600,49.343,57.4625,59.242,55.683
1674864000,52.961,2521.341,43.873,4998.809
1662422400,21.622,18.7975,18.269,19.326
1655164800,24.732,10.4535,13.3,7.607
1683331200,58.488,2578.749,158.873,4998.625
1654300800,37.601,6.3955,9.406,3.385
1671926400,66.711,91.9045,105.209,78.6
1685059200,44.72,2512.8165,27.337,4998.296
1659052800,37.906,9.575,10.365,8.785
1685232000,44.726,2509.39,20.334,4998.446
1655078400,35.114,4.927,8.791,1.063
1668988800,48.737,73.356,74.763,71.949
1675209600,45.41,2542.4615,40.361,5044.562
1663891200,39.215,8.0225,8.768,7.277
1659312000,37.022,11.649,18.589,4.709
1680134400,60.139,2503.9555,9.909,4998.002
1657411200,34.037,12.613,20.267,4.959
1656547200,36.392,11.551,16.735,6.367
1672790400,68.14,43.1945,44.924,41.465
1654646400,29.065,4.495,5.944,3.046
1666569600,26.753,11.4275,7.686,15.169
1661472000,38.668,9.9965,10.053,9.94
1663027200,38.16,8.941,8.854,9.028
1677628800,55.657,2512.684,5.138,5020.23
1661212800,36.778,3.07,3.891,2.249
1660262400,34.079,5.459,6.397,4.521
1657152000,40.632,5.896,8.358,3.434
1676332800,38.715,2506.728,15.204,4998.252
1669420800,48.247,103.7185,110.635,96.802
1667174400,44.946,51.693,50.376,53.01
1664928000,44.253,12.0115,12.035,11.988
1681171200,48.526,2510.601,22.94,4998.262
1672531200,57.268,15.4385,8.042,22.835
1683504000,45.957,2507.1005,15.99,4998.211
1676937600,41.972,2524.304,50.036,4998.572
1676592000,39.818,2547.425,35.604,5059.246
1685318400,43.535,2516.551,34.812,4998.29
1655942400,25.57,7.1835,9.127,5.24
1681862400,37.235,2507.129,15.925,4998.333
1674172800,51.54,2523.013,16.513,5029.513
1684886400,40.492,2515.238,32.181,4998.295
1677110400,47.522,2514.2425,12.138,5016.347
1671667200,61.794,70.7035,67.707,73.7
1679097600,48.474,2514.1885,30.096,4998.281
1677801600,47.381,2512.5125,18.358,5006.667
1667433600,52.183,18.4465,17.041,19.852
1685145600,43.934,2511.0785,23.827,4998.33
1654992000,39.586,5.2765,5.497,5.056
1684972800,42.935,2509.704,21.076,4998.332
1677456000,69.575,2506.012,6.73,5005.294
1655251200,23.482,13.9425,14.335,13.55
1654560000,32.731,12.705,15.999,9.411
1675641600,56.601,2505.0895,11.829,4998.35
1657065600,40.272,9.3155,11.561,7.07
1677024000,40.543,2504.704,10.363,4999.045
1673913600,60.815,2513.0045,27.501,4998.508
1660694400,23.982,25.378,25.885,24.871
1668470400,50.206,40.86,40.393,41.327
1654473600,40.685,7.275,11.95,2.6
1665273600,40.625,9.427,10.48,8.374
1659225600,41.928,10.885,15.542,6.228
1665619200,47.443,15.4855,18.253,12.718
1667692800,50.363,14.078,14.701,13.455
